Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469782800.0 1330.0 NA 204 447 0 NA NA NA NA 318 564 0 NA NA NA NA 1076 3304 1954 NA NA NA NA 798 3080 1973 NA NA NA
1469782800.0 1331.0 NA 186 442 0 NA NA NA NA 332 569 0 NA NA NA NA 732 1773 1304 NA NA NA NA 487 1659 1313 NA NA NA
1469782800.0 1332.0 NA 186 449 0 NA NA NA NA 328 552 0 NA NA NA NA 634 1722 1266 NA NA NA NA 446 1599 1274 NA NA NA
1469782800.0 1333.0 NA 197 449 0 NA NA NA NA 327 565 0 NA NA NA NA 1064 3439 2210 NA NA NA NA 813 3358 2234 NA NA NA
1469782800.0 1334.0 NA 200 453 0 NA NA NA NA 328 542 0 NA NA NA NA 1031 3052 1797 NA NA NA NA 714 2856 1819 NA NA NA
1469782800.0 1335.0 NA 197 454 0 NA NA NA NA 320 566 0 NA NA NA NA 1061 3346 1996 NA NA NA NA 757 3187 2012 NA NA NA
1469782800.0 1336.0 NA 205 455 0 NA NA NA NA 342 590 0 NA NA NA NA 1340 4454 1855 NA NA NA NA 867 3115 1866 NA NA NA
1469782800.0 1337.0 NA 214 469 0 NA NA NA NA 315 574 0 NA NA NA NA 1437 3866 1818 NA NA NA NA 896 3022 1830 NA NA NA
1469782800.0 1338.0 NA 201 459 0 NA NA NA NA 334 568 0 NA NA NA NA 1213 3914 1877 NA NA NA NA 799 3299 1892 NA NA NA
1469782800.0 1339.0 NA 219 470 0 NA NA NA NA 313 587 0 NA NA NA NA 1796 4326 2188 NA NA NA NA 1071 3385 2230 NA NA NA
1469782800.0 134.0 NA 359 34 0 NA NA NA NA 454 73 0 NA NA NA NA 4296 10 13 NA NA NA NA 2257 23 21 NA NA NA
1469782800.0 134.701 NA 34 374 0 NA NA NA NA 91 469 0 NA NA NA NA 159 5413 406 NA NA NA NA 233 1988 413 NA NA NA
1469782800.0 134.702 NA 45 376 0 NA NA NA NA 95 467 0 NA NA NA NA 308 10162 570 NA NA NA NA 331 3550 602 NA NA NA
1469782800.0 134.703 NA 47 391 0 NA NA NA NA 93 483 0 NA NA NA NA 268 9615 588 NA NA NA NA 348 3477 616 NA NA NA
1469782800.0 134.704 NA 41 377 0 NA NA NA NA 94 479 0 NA NA NA NA 167 6680 390 NA NA NA NA 186 2554 399 NA NA NA
1469782800.0 134.705 NA 48 389 0 NA NA NA NA 93 478 0 NA NA NA NA 285 10147 586 NA NA NA NA 424 3640 606 NA NA NA
1469782800.0 134.706 NA 47 383 0 NA NA NA NA 92 492 0 NA NA NA NA 283 10171 581 NA NA NA NA 287 3776 593 NA NA NA
1469782800.0 134.707 NA 43 379 0 NA NA NA NA 93 470 0 NA NA NA NA 276 9051 523 NA NA NA NA 277 3368 544 NA NA NA
1469782800.0 134.708 NA 45 376 0 NA NA NA NA 93 463 0 NA NA NA NA 260 8974 565 NA NA NA NA 343 3207 575 NA NA NA
1469782800.0 134.709 NA 48 396 0 NA NA NA NA 93 488 0 NA NA NA NA 274 9269 550 NA NA NA NA 282 3252 560 NA NA NA
1469782800.0 134.71 NA 40 368 0 NA NA NA NA 88 457 0 NA NA NA NA 148 3510 381 NA NA NA NA 167 1542 393 NA NA NA
1469782800.0 134.801 NA 44 376 0 NA NA NA NA 94 464 0 NA NA NA NA 144 3622 310 NA NA NA NA 141 1430 320 NA NA NA
1469782800.0 134.802 NA 45 385 0 NA NA NA NA 95 483 0 NA NA NA NA 341 13752 562 NA NA NA NA 327 4765 580 NA NA NA
1469782800.0 134.803 NA 45 379 0 NA NA NA NA 93 489 0 NA NA NA NA 412 11264 639 NA NA NA NA 518 3865 660 NA NA NA
1469782800.0 134.804 NA 35 397 0 NA NA NA NA 97 492 0 NA NA NA NA 327 12014 541 NA NA NA NA 337 4049 556 NA NA NA
1469782800.0 134.805 NA 47 386 0 NA NA NA NA 96 491 0 NA NA NA NA 334 12467 562 NA NA NA NA 336 4413 573 NA NA NA
1469782800.0 134.806 NA 45 396 0 NA NA NA NA 94 484 0 NA NA NA NA 357 14581 620 NA NA NA NA 355 4778 638 NA NA NA
1469782800.0 134.807 NA 79 401 0 NA NA NA NA 154 522 0 NA NA NA NA 643 6463 330 NA NA NA NA 1431 2638 349 NA NA NA
1469782800.0 134.808 NA 79 410 0 NA NA NA NA 157 511 0 NA NA NA NA 661 7934 308 NA NA NA NA 2807 2800 316 NA NA NA
1469782800.0 134.809 NA 45 386 0 NA NA NA NA 93 486 0 NA NA NA NA 324 10916 528 NA NA NA NA 325 3696 540 NA NA NA
1469782800.0 134.81 NA 45 384 0 NA NA NA NA 93 467 0 NA NA NA NA 337 11254 612 NA NA NA NA 429 3804 628 NA NA NA
1469782800.0 134.811 NA 46 392 0 NA NA NA NA 96 479 0 NA NA NA NA 353 14860 541 NA NA NA NA 336 5669 555 NA NA NA
1469782800.0 134.812 NA 42 369 0 NA NA NA NA 92 460 0 NA NA NA NA 148 4007 348 NA NA NA NA 164 1704 355 NA NA NA
1469782800.0 134.902 NA 46 372 0 NA NA NA NA 97 466 0 NA NA NA NA 292 8644 528 NA NA NA NA 347 3180 539 NA NA NA
1469782800.0 134.903 NA 48 386 0 NA NA NA NA 94 467 0 NA NA NA NA 299 7920 544 NA NA NA NA 413 2957 554 NA NA NA
1469782800.0 134.904 NA 46 380 0 NA NA NA NA 95 471 0 NA NA NA NA 315 9657 538 NA NA NA NA 319 3452 549 NA NA NA
1469782800.0 134.905 NA 37 373 0 NA NA NA NA 97 488 0 NA NA NA NA 189 7239 579 NA NA NA NA 225 2776 594 NA NA NA
