Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469916000.0 280.0 90 74 163 0 NA NA NA 164 117 221 0 NA NA NA 9915 590 1129 879 NA NA NA 10073 1585 1179 898 NA NA NA
1469916000.0 29.0 NA 67 165 0 NA NA NA NA 118 226 0 NA NA NA NA 2671 2900 950 NA NA NA NA 2800 3049 985 NA NA NA
1469916000.0 3.0 52 80 120 NA NA NA NA 96 112 167 NA NA NA NA 8127 289 865 NA NA NA NA 8284 304 882 NA NA NA NA
1469916000.0 30.0 NA 73 166 0 NA NA NA NA 118 225 0 NA NA NA NA 3341 3569 1044 NA NA NA NA 3415 3644 1068 NA NA NA
1469916000.0 31.0 NA 67 166 0 NA NA NA NA 116 225 0 NA NA NA NA 3123 2487 878 NA NA NA NA 3167 2520 909 NA NA NA
1469916000.0 32.0 NA 76 165 0 NA NA NA NA 117 220 0 NA NA NA NA 3227 2957 903 NA NA NA NA 3287 2987 920 NA NA NA
1469916000.0 33.0 NA 72 164 0 NA NA NA NA 117 225 0 NA NA NA NA 3093 2382 936 NA NA NA NA 3178 2408 948 NA NA NA
1469916000.0 35.0 NA 74 163 0 NA NA NA NA 117 220 0 NA NA NA NA 3363 3707 1029 NA NA NA NA 3404 3786 1062 NA NA NA
1469916000.0 36.0 NA 77 167 0 NA NA NA NA 119 228 0 NA NA NA NA 1809 9840 448 NA NA NA NA 1840 9887 456 NA NA NA
1469916000.0 37.0 NA 74 166 0 NA NA NA NA 119 225 0 NA NA NA NA 3087 3543 598 NA NA NA NA 3162 3575 606 NA NA NA
1469916000.0 38.0 NA 71 168 0 NA NA NA NA 118 223 0 NA NA NA NA 3608 4823 1058 NA NA NA NA 4089 4947 1088 NA NA NA
1469916000.0 39.0 NA 76 165 0 NA NA NA NA 120 227 0 NA NA NA NA 3684 8944 967 NA NA NA NA 3795 9990 1009 NA NA NA
1469916000.0 4.17 NA 30 180 0 101 NA NA NA 67 244 0 154 NA NA NA 108 3880 962 1108 NA NA NA 122 6322 1009 1371 NA NA
1469916000.0 4.22 NA 112 48 62 0 NA NA NA 193 83 102 0 NA NA NA 1502 132 236 357 NA NA NA 1692 149 305 386 NA NA
1469916000.0 4.23 NA 56 190 0 NA NA NA NA 101 257 0 NA NA NA NA 178 3654 1389 NA NA NA NA 297 3909 1425 NA NA NA
1469916000.0 4.24 NA 43 188 0 NA NA NA NA 87 254 0 NA NA NA NA 162 4690 1268 NA NA NA NA 243 5450 1347 NA NA NA
1469916000.0 4.25 NA 51 183 0 NA NA NA NA 87 251 0 NA NA NA NA 94 3619 1161 NA NA NA NA 199 3856 1184 NA NA NA
1469916000.0 4.26 NA 52 186 0 NA NA NA NA 85 253 0 NA NA NA NA 112 5176 1320 NA NA NA NA 139 5374 1382 NA NA NA
1469916000.0 4.27 NA 46 182 0 NA NA NA NA 90 253 0 NA NA NA NA 170 5581 1186 NA NA NA NA 196 5643 1216 NA NA NA
1469916000.0 4.28 NA 51 193 0 NA NA NA NA 104 259 0 NA NA NA NA 567 5354 3201 NA NA NA NA 751 5411 3226 NA NA NA
1469916000.0 4.29 NA 31 183 0 100 NA NA NA 68 249 0 156 NA NA NA 125 4671 1045 1309 NA NA NA 159 4724 1066 1601 NA NA
1469916000.0 4.34 NA 50 189 0 NA NA NA NA 99 259 0 NA NA NA NA 409 6314 1243 NA NA NA NA 474 6381 1263 NA NA NA
1469916000.0 4.36 NA 44 183 0 NA NA NA NA 85 253 0 NA NA NA NA 147 5662 1163 NA NA NA NA 161 5726 1183 NA NA NA
1469916000.0 4.37 NA 52 196 0 NA NA NA NA 87 261 0 NA NA NA NA 162 6786 1194 NA NA NA NA 273 7164 1220 NA NA NA
1469916000.0 4.4 NA 22 187 0 NA NA NA NA 69 254 0 NA NA NA NA 92 4511 687 NA NA NA NA 123 4599 696 NA NA NA
1469916000.0 4.41 NA 28 189 0 NA NA NA NA 68 250 0 NA NA NA NA 176 9271 1151 NA NA NA NA 239 9357 1176 NA NA NA
